#
# Inhaltstypen => CONTENT
#
prm; aufgeführte Musik; performed music
ntv; Bewegungsnotation; notated movement
cod; Computerdaten; computer dataset
cop; Computerprogramm; computer program
tdf; dreidimensionale Form; three-dimensional form
tdm; dreidimensionales bewegtes Bild; three-dimensional moving image
snd; Geräusche; sounds
spw; gesprochenes Wort; spoken word
crf; kartografische dreidimensionale Form; cartographic three-dimensional form
crn; kartografische taktile dreidimensionale Form; cartographic tactile three-dimensional form
crd; kartografischer Datensatz; cartographic dataset
crm; kartografisches bewegtes Bild; cartographic moving image
cri; kartografisches Bild; cartographic image
crt; kartografisches taktiles Bild; cartographic tactile image
ntm; Noten; notated music
tcn; taktile Bewegungsnotation; tactile notated movement
tcf; taktile dreidimensionale Form; tactile three-dimensional form
tcm; taktile Noten; tactile notated music
tct; taktiler Text; tactile text
tci; taktiles Bild; tactile image
txt; Text; text
sti; unbewegtes Bild; still image
tdi; zweidimensionales bewegtes Bild; two-dimensional moving image
xxx; Sonstige; other
zzz; nicht spezifiziert; unspecified

#
# Medientyp => MEDIA
#
s; audio; audio
c; Computermedien; computer
h; Mikroform; microform
p; mikroskopisch; microscopic
n; ohne Hilfsmittel zu benutzen; unmediated
g; projizierbar; projected
e; stereografisch; stereographic
v; video; video
x; Sonstige; other
z; nicht spezifiziert; unspecified

#
# Datenträgertyp => CARRIER
#
sg; Audiocartridge; audio cartridge
sd; Audiodisk; audio disc
ss; Audiokassette; audiocassette
sq; Notenrolle; audio roll
se; Phonographenzylinder; audio cylinder
st; Tonbandspule; audiotape reel
si; Tonspurspule; sound track reel
sz; Sonstige Tonträger; other audio carrier

cb; Computerchip-Cartridge; computer chip cartridge
cd; Computerdisk; computer disc
ce; Computerchip-Cartridge; computer disc cartridge
ca; Magnetbandcartridge; computer tape cartridge
cf; Magnetbandkassette; computer tape cassette
ch; Magnetbandspule; computer tape reel
cr; Online-Ressource; online resource
ck; Speicherkarte; computer card
cz; Sonstige Computermedien; other computer carrier

hg; Lichtundurchlässiger Mikrofiche; microopaque
he; Mikrofiche; microfiche
hf; Mikrofichekassette; microfiche cassette
hb; Mikrofilm-Cartridge; microfilm cartridge
hc; Mikrofilmkassette; microfilm cassette
ha; Mikrofilmlochkarte; aperture card
hj; Mikrofilmrolle; microfilm roll
hd; Mikrofilmspule; microfilm reel
hh; Mikrofilmstreifen; microfilm slip
hz; Sonstige Mikroformen; other microform carrier

pp; Objektträger; microscope slide
pz; Sonstige Miskroskop-Anwendungen; other microscopic carrier

gs; Dia; slide
mc; Filmdose; film cartridge
mf; Filmkassette; film cassette
mo; Filmrolle; film roll
mr; Filmspule; film reel
gf; Filmstreifen; filmstrip
gd; Filmstreifen für Einzelbildvorführung; filmslip
gc; Filmstreifen-Cartridge; filmstrip cartridge
gt; Overheadfolie; overhead transparency
mz; Sonstige projizierbare Bilder; other projected image carrier

eh; Stereobild; stereograph card
es; Stereografische Disk; stereograph disc
ez; Sonstige stereografische Datenträger; other stereographic carrier

nc; Band; volume
nb; Blatt; sheet
nn; Flipchart; flipchart
nr; Gegenstand; object
no; Karte; card
na; Rolle; roll
nz; Sonstige Datenträger, die ohne Hilfsmittel zu benutzen sind; other unmediated carrier

vr; Videobandspule; videotape reel
vc; Videocartridge; video cartridge
vd; Videodisk; videodisc
vf; Videokassette; videocassette
vz; Sonstige Videodatenträger; other video carrier

zu; nicht spezifiziert; unspecified
